Configuration,Number of Layers,Time (seconds)
Projectnb w cache & 1 worker,20,319.99460005760193
Projectnb w cache & 1 worker,30,311.23672699928284
Projectnb w cache & 1 worker,40,326.1076672077179
Projectnb w cache & 1 worker,50,341.4644293785095
Projectnb w cache & 1 worker,60,386.6392855644226
ENGNAS w cache & 1 worker,20,385.9368155002594
ENGNAS w cache & 1 worker,30,315.3684277534485
ENGNAS w cache & 1 worker,40,333.6023967266083
ENGNAS w cache & 1 worker,50,347.0688509941101
ENGNAS w cache & 1 worker,60,397.7370114326477
Projectnb w/o cache & 1 worker,20,282.4913504123688
Projectnb w/o cache & 1 worker,30,308.8777275085449
Projectnb w/o cache & 1 worker,40,323.96095728874207
Projectnb w/o cache & 1 worker,50,350.51459312438965
Projectnb w/o cache & 1 worker,60,390.2846255302429
Projectnb w/o cache & 4 workers,20,189.18226075172424
Projectnb w/o cache & 4 workers,30,241.3705883026123
Projectnb w/o cache & 4 workers,40,297.89671874046326
Projectnb w/o cache & 4 workers,50,344.4496669769287
Projectnb w/o cache & 4 workers,60,406.4819846153259
ENGNAS w/o cache & 1 worker,20,545.0114872455597
ENGNAS w/o cache & 1 worker,30,588.0797126293182
ENGNAS w/o cache & 1 worker,40,596.5770373344421
ENGNAS w/o cache & 1 worker,50,609.2492046356201
ENGNAS w/o cache & 1 worker,60,648.8448185920715
ENGNAS w/o cache & 4 workers,20,259.26766896247864
ENGNAS w/o cache & 4 workers,30,310.44525599479675
ENGNAS w/o cache & 4 workers,40,358.3433210849762
ENGNAS w/o cache & 4 workers,50,413.04208064079285
ENGNAS w/o cache & 4 workers,60,464.3531172275543
